tree_id,SelecTree Scientific Name,Analgous Tree Species
1846,Tara spinosa,Acacia baileyana
1998,Gordonia axillaris,Arbutus unedo
1397,Leucothrinax morrisii,Bismarckia nobilis
969,Ochrosia elliptica,Cerbera manghas
1838,Gevuina avellana,Chrysolepis chrysophylla
1764,Scaevola taccada,Conocarpus erectus
1447,Ungnadia speciosa,Cordia boissieri
1986,Ceratopetalum gummiferum,Corymbia ficifolia
2012,Psoralea pinnata,Erythrina caffra
2011,Plerandra  elegantissima,Heptapleurum actinophyllum
1761,Polyscias racemosa,Heptapleurum actinophyllum
1120,Pongamia pinnata,Heptapleurum actinophyllum
1316,Sapindus saponaria,Heptapleurum actinophyllum
1821,Schizolobium parahyba,Heptapleurum actinophyllum
1332,Simarouba amara,Heptapleurum actinophyllum
1997,Gmelina arborea,Heritiera littoralis
1906,Schotia latifolia,Jacaranda mimosifolia
1832,Austrocedrus chilensis,Juniperus occidentalis
1999,Halocarpus biformis,Juniperus occidentalis
1907,Verschaffeltia splendida,Licuala grandis
1027,Pinckneya bracteata,Magnolia grandiflora
976,Osmanthus americanus,Osmanthus Ã— fortunei
1919,Simmondsia chinensis,Prosopis velutina
1150,Prunus angustifolia,Prunus cerasifera
1169,Prunus mexicana,Prunus cerasifera
1190,Prunus umbellata,Prunus cerasifera
1831,Aristotelia chilensis,Prunus laurocerasus
227,Sideroxylon lanuginosum,Prunus laurocerasus
1860,Beilschmiedia berteroana,Quercus agrifolia
1849,Peumus boldus,Quercus agrifolia
1855,Quercus john-tuckeri,Quercus douglasii
1901,Quercus aliena,Quercus macrocarpa
1903,Quercus montana,Quercus macrocarpa
1255,Quercus prinus,Quercus muehlenbergii
1905,Quercus variabilis,Quercus muehlenbergii
1904,Quercus prinoides,Quercus rubra
1281,Rhus chinensis,Rhus typhina
1285,Rhus lanceolata,Rhus typhina
1789,Schinus latifolia,Schinus molle
1501,Schinus polygama,Schinus terebinthifolia
1989,Dacrycarpus dacrydioides,Sequoia sempervirens
1990,Dacrydium cupressinum,Sequoia sempervirens
1837,Fitzroya cupressoides,Sequoia sempervirens
1758,Glyptostrobus pensilis,Sequoia sempervirens
1966,Prumnopitys ferruginea,Sequoia sempervirens
2007,Taiwania cryptomerioides,Sequoia sempervirens
1333,Sophora affinis,Sophora microphylla
1851,Sophora fernandeziana,Sophora microphylla
1844,Sophora macrocarpa,Sophora microphylla
1774,Sorbus sargentiana,Sorbus hupehensis
1503,Tilia platyphyllos,Tilia americana
1996,Fuchsia excorticata,Tristaniopsis laurina
1899,Heptacodium miconioides,Tristaniopsis laurina
1702,Robinsonella cordata,Tristaniopsis laurina
1432,Ulmus alata,Ulmus americana
1436,Ulmus crassifolia,Ulmus parvifolia
1609,Ulmus davidiana var. japonica,Ulmus parvifolia
1829,Aextoxicon punctatum,Umbellularia californica
1833,Beilschmiedia miersii,Umbellularia californica
1984,Beilschmiedia tarairi,Umbellularia californica
1836,Dasyphyllum diacanthoides,Umbellularia californica
2004,Laurelia novae-zelandiae,Umbellularia californica
1839,Laurelia sempervirens,Umbellularia californica
1850,Saxegothaea conspicua,Umbellularia californica
1421,Torreya nucifera,Umbellularia californica
1422,Torreya taxifolia,Umbellularia californica
1847,Weinmannia trichosperma,Umbellularia californica
1459,Viburnum rufidulum,Viburnum odoratissimum
1462,Viburnum sieboldii,Viburnum odoratissimum
1463,Viburnum sieboldii 'Seneca',Viburnum odoratissimum
1469,Vitex negundo 'Heterophylla',Vitex negundo